latitude,longitude,accommodates,beds,bathrooms,half_bathrooms,shared_bathrooms,room_type_Entire_home/apt,room_type_Hotel_room,room_type_Private_room,room_type_Shared_room,price
-22.96738,-43.18026,2,1.0,1,0,0,1,0,0,0,535.0
-22.96779,-43.18065,4,2.0,1,0,0,1,0,0,0,180.0
-22.98497,-43.22551,2,1.0,1,0,0,1,0,0,0,1223.0
-22.97583,-43.19146,8,7.0,4,1,0,1,0,0,0,4114.0
-22.90544,-43.19471,2,1.0,1,0,0,0,0,1,0,579.0
-22.96515,-43.1891,2,2.0,1,0,1,0,0,1,0,150.0
-22.98377,-43.20067,4,2.0,1,1,0,1,0,0,0,924.0
-22.98649,-43.19793,2,2.0,1,1,0,1,0,0,0,971.0
-22.96775,-43.18457,5,3.0,1,0,0,1,0,0,0,840.0
-22.98057,-43.1995,5,4.0,1,1,0,1,0,0,0,726.0
-22.9819,-43.20042,4,4.0,2,0,0,1,0,0,0,189.0
-22.94471,-43.18421,2,1.0,1,0,0,0,0,1,0,145.0
-22.99074,-43.23197,2,1.0,1,0,0,1,0,0,0,320.0
-22.93145,-43.24074,2,1.0,2,0,0,0,0,1,0,579.0
-22.95644,-43.19992,1,1.0,1,0,1,0,0,1,0,271.0
-22.96055,-43.22285,4,1.0,2,0,0,0,0,1,0,434.0
-22.98586,-43.19411,2,1.0,1,0,0,1,0,0,0,800.0
-22.94187,-43.18707,3,3.0,1,0,0,0,0,1,0,627.0
-22.94259,-43.18703,2,2.0,1,0,0,0,0,1,0,627.0
-22.9791,-43.18918,5,4.0,1,0,0,1,0,0,0,230.0
-22.96582,-43.17786,2,1.0,1,0,0,1,0,0,0,929.0
-22.92902,-43.17604,2,2.0,1,0,0,0,0,1,0,92.0
-22.98531,-43.20082,2,1.0,1,0,0,1,0,0,0,790.0
-22.98123,-43.19865,2,1.0,1,0,1,0,0,1,0,147.0
-22.97894,-43.19764,2,1.0,1,0,1,0,0,1,0,310.0
-22.923691973028685,-43.17444340654645,2,1.0,1,0,0,1,0,0,0,179.0
-22.94433,-43.20504,2,1.0,1,0,0,1,0,0,0,154.0
-22.98251,-43.19732,9,4.0,3,0,0,1,0,0,0,2243.0
-22.96488,-43.17707,6,4.0,2,0,0,1,0,0,0,1034.0
-22.94264,-43.18865,8,8.0,2,0,0,0,0,1,0,1688.0
-22.98271,-43.49074,16,7.0,4,0,0,1,0,0,0,1757.0
-22.98306,-43.20036,8,4.0,3,0,0,1,0,0,0,2120.0
-22.92203,-43.17598,2,1.0,1,0,0,1,0,0,0,482.0
-22.98493,-43.20941,2,2.0,1,1,0,0,0,1,0,239.0
-22.98096,-43.19337,4,2.0,1,0,0,1,0,0,0,755.0
-22.9807,-43.1901,4,1.0,1,0,0,1,0,0,0,900.0
-22.9655,-43.17659,2,2.0,1,0,0,0,0,1,0,476.0
-22.98323,-43.19147,3,4.0,1,0,0,1,0,0,0,330.0
-22.96133,-43.16868,2,2.0,1,0,0,0,0,1,0,364.0
-22.96791,-43.18863,4,2.0,1,0,0,1,0,0,0,901.0
-22.97642,-43.18834,4,1.0,1,0,0,1,0,0,0,893.0
-22.96768,-43.18241,3,1.0,1,0,0,1,0,0,0,529.0
-22.96403,-43.21973,4,2.0,2,0,0,1,0,0,0,4000.0
-22.96827,-43.17981,2,1.0,1,1,0,1,0,0,0,986.0
-22.9778,-43.18908,8,4.0,2,0,0,1,0,0,0,1458.0
-22.98454,-43.20809,6,4.0,2,0,0,1,0,0,0,1929.0
-22.95402,-43.19331,1,1.0,1,0,1,0,0,1,0,97.0
-22.985536575317383,-43.19681930541992,2,1.0,1,0,0,0,0,1,0,357.0
-23.01106,-43.32761,3,1.0,1,0,0,1,0,0,0,1429.0
-22.99928,-43.34075,12,14.0,8,0,0,1,0,0,0,10000.0
-22.96385,-43.18007,6,5.0,2,0,0,1,0,0,0,1000.0
-22.961824,-43.166691,8,4.0,2,0,0,1,0,0,0,2286.0
